Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-07-19,-3.815982352525795,6.84,1.2081545999999999,1.6589415324719012,8.820048653149023,1.0,1.0,-8.820048653149023,0.11320884204252296,-10.052988223400881
2021-07-20,-3.614436353141614,6.86,1.1930479750000003,1.639699883715884,8.779560061816971,1.0,1.0,-8.779560061816971,-0.22304811991236254,-10.276036343313244
2021-07-21,-3.7050387583356272,7.01,1.2263291600000001,1.6260796419635912,8.73748998868756,1.0,1.0,-8.73748998868756,-0.08124506032535472,-10.357281403638599
2021-07-22,-3.9156836742094248,6.81,1.23372776,1.616942392053488,8.693719977744056,1.0,1.0,-8.693719977744056,0.10895091869536282,-10.248330484943235
2021-07-23,-3.8122177560883594,6.71,1.21618266,1.6072213021934012,8.65183997614993,1.0,1.0,-8.65183997614993,-0.5036738633218472,-10.752004348265082
2021-07-26,-4.4268058271711626,6.63,1.28530778,1.6038964560912645,8.602457714191354,1.0,1.0,-8.602457714191354,-0.3083720744056049,-11.060376422670688
2021-07-27,-4.807758874516661,6.56,1.329804675,1.6033859620801227,8.548442555683344,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-07-28,-5.165497000778747,6.71,1.39896603,1.6035830845196846,8.4887672367418,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-07-29,-5.477968714023375,6.88,1.4670082350000002,1.6054140861178023,8.423925932510784,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-07-30,-5.2147425391144235,6.85,1.442488125,1.604161441142183,8.363841843838003,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-02,-5.259845095835142,7.13,1.4923672399999999,1.602796914054595,8.302142236675701,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-03,-4.913556634460878,7.07,1.453225755,1.600811789256566,8.246176888367133,0.0,0.0,-0.0,-0.0,-11.060376422670688
2021-08-04,-5.175354292928526,7.0,1.48720374,1.59976385862851,8.18674265365183,0.0,0.0,-0.0,-0.0,-11.060376422670688
2021-08-05,-5.330768985668503,6.96,1.51256648,1.6020988365490811,8.125771097127911,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-06,-5.067258013780105,7.02,1.4980286200000001,1.600950576918291,8.06877642549987,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-09,-4.9457688573756355,6.96,1.4856134399999998,1.597242249195637,8.014042237915966,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-10,-5.198836212470221,7.09,1.544688625,1.5916153204304937,7.955542634018051,0.0,0.0,-0.0,-0.0,-11.060376422670688
2021-08-11,-5.508817167461771,7.02,1.5872740499999998,1.5923724063394566,7.893291752272881,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-12,-5.094094044911815,7.24,1.573951065,1.5912946229867793,7.836389783129513,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-13,-4.631125651516964,7.33,1.5362700599999999,1.5874085154589954,7.785822273667798,0.0,0.0,-0.0,-0.0,-11.060376422670688
2021-08-16,-5.43670814094068,7.31,1.6502311299999999,1.5902895864337958,7.724195665210049,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-17,-5.246685891859205,7.04,1.6025377,1.5948333459679955,7.66701831218024,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-18,-4.637148882856072,7.06,1.53541877,1.5950104467124036,7.618214073842585,0.0,0.0,-0.0,0.0,-11.060376422670688
2021-08-19,-3.4037554560331102,6.93,1.3625481400000001,1.58877531962558,7.584139710493538,0.0,0.0,-0.0,-0.0,-11.060376422670688
2021-08-20,-3.9613797917763796,6.8,1.4263074,1.5845529981907545,7.544923199428384,1.0,1.0,-7.544923199428384,0.062205353828459015,-10.998171068842229
2021-08-23,-3.7806430438924234,6.85,1.41593799,1.5813465532296624,7.507845060285742,1.0,1.0,-7.507845060285742,-0.602284984905161,-11.60045605374739
2021-08-24,-4.602400905194782,6.8,1.528149,1.581934644887272,7.461576655937858,1.0,1.0,-7.461576655937858,-0.14721581122553887,-11.74767186497293
2021-08-25,-4.806500259584119,6.73,1.556190895,1.5823305449661227,7.4132937653411215,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-08-26,-4.737919517489979,6.89,1.5786540500000001,1.5807284206615027,7.365717344778596,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-08-27,-5.496175807152033,6.82,1.6850905349999998,1.5838529348928165,7.308910442103952,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-08-30,-5.503926760369923,6.73,1.6868070750000002,1.5856613343854609,7.25271250143999,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-08-31,-5.949212928245452,6.69,1.7576088749999998,1.59107859712696,7.191140820932333,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-09-01,-5.996793783451078,6.56,1.7611615,1.5973215076304332,7.129836635340414,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-02,-6.290895358151974,6.61,1.826088,1.6070024590526215,7.064771992451609,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-03,-6.0827868183807645,6.59,1.8096023999999997,1.6155423258759252,7.003078034368636,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-06,-6.2766472758057255,6.59,1.8542719150000002,1.6239468959585521,6.938921509689006,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-09-07,-6.5063031158378735,6.42,1.88089362,1.634555673979592,6.872426477706843,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-09-08,-6.782765649125045,6.27,1.9185094199999997,1.6483718229437532,6.803597372550324,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-09-09,-7.137279445967601,6.11,1.9681378250000001,1.6658756557679668,6.730869798697965,0.0,0.0,-0.0,-0.0,-11.74767186497293
2021-09-10,-7.349946558077626,6.07,2.01625236,1.686808954706371,6.655886348511268,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-13,-7.490693873892197,6.47,2.1225743699999997,1.7077730708118866,6.57724604198071,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-14,-8.349406621957144,6.47,2.2848873999999997,1.7391176846333354,6.48583672961615,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-15,-9.175846228476576,6.47,2.4518817,1.78236381783191,6.381158694759447,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-16,-7.285968439841441,6.47,2.1808926,1.8017607392738146,6.307494665184999,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-17,-7.475233946972518,6.47,2.2380116,1.8235577371958789,6.231082067212037,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-20,-9.407145569344674,6.47,2.5925155,1.867430387362759,6.124223970635729,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-21,-8.8346326815733,6.47,2.5389623,1.9020673898130132,6.0279085993412735,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-22,-8.214708204663474,6.47,2.471336505,1.929115568837822,5.942010800614735,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-23,-7.597837830164175,6.47,2.398277805,1.9486742021513515,5.865808289946699,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-24,-7.46690964601255,6.47,2.4062042249999998,1.9672987820274834,5.792072635070097,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-27,-8.41595653599515,6.47,2.6091579,1.9953568968729816,5.705272393056453,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-28,-8.390942718461815,6.47,2.6444682999999998,2.02236239786668,5.619633526505806,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-29,-10.266953280303806,6.47,3.0407625,2.0717045060137718,5.504196161424578,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-09-30,-11.695470085694232,6.47,3.3867855299999996,2.1399900910422973,5.363631657447832,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-01,-10.658398701073317,6.47,3.26641914,2.1908481456377626,5.243784697230655,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-04,-10.670399016379488,6.47,3.3446925449999996,2.2400166038345826,5.124656088943891,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-05,-13.36839098580252,6.47,4.004082885,2.3289955067294357,4.9545405416357955,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-06,-11.430109183828023,6.47,3.7101696,2.384670392818487,4.82460671981896,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-07,-9.351747478753282,6.47,3.344459975,2.4143777124616563,4.730733092045235,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-08,-7.65661526154777,6.47,3.030388875,2.4291059034518403,4.661650977565634,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-11,-7.105767365487053,6.47,2.95122737,2.4403696745786743,4.600041156939749,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-12,-6.940990478960507,6.47,2.9533747999999997,2.4504891644706963,4.540903673641594,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-13,-7.899440841098165,6.47,3.214097625,2.466498241963413,4.470754319759707,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-14,-8.99134682244241,6.47,3.5246200200000004,2.4911691440373764,4.386670544543525,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-15,-7.480586830143996,6.47,3.22678566,2.5035615222081367,4.323369538633687,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-18,-7.405980938218806,6.47,3.2560304,2.5155592933001754,4.26162511818649,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-19,-6.651009851078606,6.47,3.1172191350000005,2.522884723444903,4.2092035506123,0.0,0.0,-0.0,0.0,-11.74767186497293
2021-10-20,-6.947281672067867,6.47,3.23008515,2.5313629415608574,4.153847669330905,0.0,0.0,-0.0,0.0,-11.74767186497293
